tempo;Umidadecomp;Conducomp;Tempcomp;Umidadesem;Condusem;Tempsem
00:00;14.02;0.83;20.4;14.20;1.17;18.7
00:20;13.94;0.84;20.1;14.13;1.16;18.4
00:40;13.92;0.84;19.9;14.13;1.16;18.2
01:00;13.94;0.84;19.7;14.11;1.15;18.0
01:20;13.91;0.84;19.4;14.07;1.15;17.9
01:40;13.91;0.83;19.3;14.04;1.15;17.7
02:00;13.82;0.84;19.0;13.93;1.15;17.5
02:20;13.85;0.83;19.0;13.96;1.13;17.4
02:40;13.84;0.83;19.0;13.94;1.12;17.7
03:00;13.83;0.82;19.1;13.93;1.11;17.8
03:20;13.78;0.83;18.9;13.86;1.11;17.8
03:40;13.75;0.83;18.8;13.89;1.11;17.7
04:00;13.73;0.82;18.9;13.88;1.10;17.8
04:20;13.72;0.83;18.8;13.84;1.11;17.7
04:40;13.71;0.83;18.7;13.85;1.10;17.6
05:00;13.76;0.83;18.8;13.80;1.09;17.8
05:20;13.75;0.83;18.8;13.84;1.09;17.8
05:40;13.67;0.83;18.6;13.78;1.10;17.6
06:00;13.66;0.84;18.4;13.81;1.10;17.5
06:20;13.65;0.84;18.3;13.72;1.10;17.4
06:40;13.69;0.84;18.2;13.78;1.10;17.2
07:00;13.68;0.84;18.0;13.75;1.11;17.1
07:20;13.67;0.84;18.1;13.76;1.10;17.2
07:40;13.62;0.83;18.2;13.75;1.10;17.4
08:00;13.66;0.83;18.4;13.77;1.09;17.6
08:20;13.61;0.84;18.8;13.78;1.08;18.0
08:40;13.67;0.82;19.6;13.75;1.07;19.4
09:00;13.71;0.81;21.2;13.85;1.05;20.8
09:20;13.69;0.79;22.8;13.87;1.06;20.6
09:40;13.78;0.79;23.3;13.86;1.07;20.1
10:00;13.75;0.83;21.8;13.94;1.07;20.5
10:20;13.83;0.78;25.1;14.04;1.02;24.1
10:40;13.91;0.77;27.5;14.10;1.00;26.0
11:00;13.96;0.77;28.9;14.24;1.02;27.1
11:20;13.96;0.78;30.0;14.31;1.03;27.9
11:40;14.06;0.78;31.2;14.41;1.03;29.0
12:00;14.06;0.79;32.3;14.49;1.03;30.1
12:20;14.19;0.79;33.6;14.61;1.04;31.4
12:40;14.27;0.80;34.7;14.69;1.04;32.5
13:00;14.34;0.81;35.8;14.78;1.05;33.6
13:20;14.41;0.82;36.6;14.81;1.06;34.0
13:40;14.46;0.83;37.2;14.85;1.07;34.5
14:00;14.49;0.84;37.4;14.97;1.08;34.7
14:20;14.45;0.86;37.2;15.00;1.09;34.8
14:40;14.48;0.88;36.7;15.04;1.11;34.6
15:00;14.49;0.90;36.2;15.06;1.12;34.4
15:20;14.55;0.92;35.5;15.04;1.14;33.7
15:40;14.60;0.93;35.5;15.08;1.14;33.9
16:00;14.61;0.95;35.1;15.10;1.15;34.0
16:20;14.58;0.97;33.9;15.20;1.17;33.1
16:40;14.63;0.98;33.0;15.17;1.18;32.2
17:00;14.62;1.00;32.2;15.05;1.19;31.2
17:20;14.60;1.01;31.2;15.02;1.20;30.0
17:40;14.57;1.02;30.3;14.87;1.21;28.9
18:00;14.48;1.02;29.5;14.76;1.21;27.8
18:20;14.49;1.04;28.8;14.72;1.21;27.1
18:40;14.38;1.03;28.2;14.62;1.19;26.6
19:00;14.40;1.02;27.8;14.45;1.18;26.1
19:20;14.29;1.03;27.1;14.39;1.17;25.6
19:40;14.28;1.03;26.6;14.28;1.16;25.0
20:00;14.21;1.02;26.1;14.16;1.15;24.6
20:20;14.10;1.02;25.6;13.98;1.14;24.1
20:40;14.10;1.02;24.9;13.93;1.12;23.5
21:00;14.03;1.02;24.4;13.82;1.11;23.0
21:20;13.98;1.02;23.9;13.66;1.11;22.5
21:40;13.91;1.01;23.5;13.60;1.11;22.1
22:00;13.81;1.00;23.1;13.53;1.10;21.7
22:20;13.77;1.00;22.7;13.37;1.09;21.4
22:40;13.77;1.00;22.4;13.30;1.09;21.0
23:00;13.75;1.00;22.0;13.27;1.08;20.7
23:20;13.65;0.99;21.7;13.21;1.07;20.4
23:40;13.63;0.98;21.4;13.18;1.07;20.1