tempo,Umidadecomp,Conducomp,Tempcomp
00:00,14.02,0.83,20.4
00:20,13.94,0.84,20.1
00:40,13.92,0.84,19.9
01:00,13.94,0.84,19.7
01:20,13.91,0.84,19.4
01:40,13.91,0.83,19.3
02:00,13.82,0.84,19.0
02:20,13.85,0.83,19.0
02:40,13.84,0.83,19.0
03:00,13.83,0.82,19.1
03:20,13.78,0.83,18.9
03:40,13.75,0.83,18.8
04:00,13.73,0.82,18.9
04:20,13.72,0.83,18.8
04:40,13.71,0.83,18.7
05:00,13.76,0.83,18.8
05:20,13.75,0.83,18.8
05:40,13.67,0.83,18.6
06:00,13.66,0.84,18.4
06:20,13.65,0.84,18.3
06:40,13.69,0.84,18.2
07:00,13.68,0.84,18.0
07:20,13.67,0.84,18.1
07:40,13.62,0.83,18.2
08:00,13.66,0.83,18.4
08:20,13.61,0.84,18.8
08:40,13.67,0.82,19.6
09:00,13.71,0.81,21.2
09:20,13.69,0.79,22.8
09:40,13.78,0.79,23.3
10:00,13.75,0.83,21.8
10:20,13.83,0.78,25.1
10:40,13.91,0.77,27.5
11:00,13.96,0.77,28.9
11:20,13.96,0.78,30.0
11:40,14.06,0.78,31.2
12:00,14.06,0.79,32.3
12:20,14.19,0.79,33.6
12:40,14.27,0.80,34.7
13:00,14.34,0.81,35.8
13:20,14.41,0.82,36.6
13:40,14.46,0.83,37.2
14:00,14.49,0.84,37.4
14:20,14.45,0.86,37.2
14:40,14.48,0.88,36.7
15:00,14.49,0.90,36.2
15:20,14.55,0.92,35.5
15:40,14.60,0.93,35.5
16:00,14.61,0.95,35.1
16:20,14.58,0.97,33.9
16:40,14.63,0.98,33.0
17:00,14.62,1.00,32.2
17:20,14.60,1.01,31.2
17:40,14.57,1.02,30.3
18:00,14.48,1.02,29.5
18:20,14.49,1.04,28.8
18:40,14.38,1.03,28.2
19:00,14.40,1.02,27.8
19:20,14.29,1.03,27.1
19:40,14.28,1.03,26.6
20:00,14.21,1.02,26.1
20:20,14.10,1.02,25.6
20:40,14.10,1.02,24.9
21:00,14.03,1.02,24.4
21:20,13.98,1.02,23.9
21:40,13.91,1.01,23.5
22:00,13.81,1.00,23.1
22:20,13.77,1.00,22.7
22:40,13.77,1.00,22.4
23:00,13.75,1.00,22.0
23:20,13.65,0.99,21.7
23:40,13.63,0.98,21.4